"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"02/01/2020","4,050.0","3,960.0","4,050.0","3,960.0","1.10M","1.76%"
"03/01/2020","4,150.0","4,070.0","4,190.0","4,050.0","3.76M","2.47%"
"06/01/2020","4,090.0","4,150.0","4,150.0","4,030.0","1.45M","-1.45%"
"07/01/2020","4,110.0","4,020.0","4,110.0","4,020.0","1.43M","0.49%"
"08/01/2020","3,910.0","4,060.0","4,080.0","3,910.0","2.57M","-4.87%"
"09/01/2020","4,100.0","3,990.0","4,100.0","3,960.0","1.32M","4.86%"
"10/01/2020","4,080.0","4,100.0","4,110.0","4,030.0","1.01M","-0.49%"
"13/01/2020","4,000.0","4,100.0","4,100.0","3,980.0","1.17M","-1.96%"
"14/01/2020","3,940.0","4,010.0","4,030.0","3,930.0","1.22M","-1.50%"
"15/01/2020","3,900.0","3,940.0","3,990.0","3,900.0","1.21M","-1.02%"
"16/01/2020","3,840.0","3,930.0","3,950.0","3,780.0","1.95M","-1.54%"
"17/01/2020","3,880.0","3,850.0","3,910.0","3,840.0","852.64K","1.04%"
"20/01/2020","3,860.0","3,840.0","3,880.0","3,840.0","470.69K","-0.52%"
"21/01/2020","3,920.0","3,860.0","3,990.0","3,860.0","800.99K","1.55%"
"22/01/2020","3,980.0","4,020.0","4,020.0","3,950.0","1.11M","1.53%"
"30/01/2020","3,900.0","3,990.0","3,990.0","3,870.0","2.01M","-2.01%"
"31/01/2020","3,640.0","3,860.0","3,860.0","3,640.0","3.00M","-6.67%"
"03/02/2020","3,390.0","3,390.0","3,560.0","3,390.0","4.43M","-6.87%"
"04/02/2020","3,270.0","3,400.0","3,410.0","3,200.0","2.53M","-3.54%"
"05/02/2020","3,300.0","3,170.0","3,400.0","3,170.0","1.29M","0.92%"
"06/02/2020","3,530.0","3,300.0","3,530.0","3,300.0","3.10M","6.97%"
"07/02/2020","3,550.0","3,590.0","3,650.0","3,530.0","1.29M","0.57%"
"10/02/2020","3,440.0","3,500.0","3,550.0","3,430.0","791.00K","-3.10%"
"11/02/2020","3,450.0","3,430.0","3,470.0","3,430.0","781.43K","0.29%"
"12/02/2020","3,580.0","3,500.0","3,610.0","3,460.0","1.52M","3.77%"
"13/02/2020","3,500.0","3,570.0","3,580.0","3,490.0","1.30M","-2.23%"
"14/02/2020","3,490.0","3,500.0","3,540.0","3,470.0","915.70K","-0.29%"
"17/02/2020","3,480.0","3,500.0","3,510.0","3,470.0","853.28K","-0.29%"
"18/02/2020","3,500.0","3,490.0","3,500.0","3,470.0","979.48K","0.57%"
"19/02/2020","3,510.0","3,500.0","3,550.0","3,500.0","1.02M","0.29%"
"20/02/2020","3,490.0","3,520.0","3,550.0","3,490.0","1.08M","-0.57%"
"21/02/2020","3,440.0","3,490.0","3,500.0","3,420.0","1.36M","-1.43%"
"24/02/2020","3,200.0","3,400.0","3,400.0","3,200.0","4.28M","-6.98%"
"25/02/2020","3,350.0","3,150.0","3,350.0","3,120.0","2.67M","4.69%"
"26/02/2020","3,260.0","3,300.0","3,300.0","3,250.0","1.07M","-2.69%"
"27/02/2020","3,330.0","3,230.0","3,400.0","3,230.0","1.52M","2.15%"
"28/02/2020","3,270.0","3,270.0","3,310.0","3,230.0","1.89M","-1.80%"
"02/03/2020","3,270.0","3,260.0","3,300.0","3,260.0","1.19M","0.00%"
"03/03/2020","3,310.0","3,300.0","3,350.0","3,300.0","1.64M","1.22%"
"04/03/2020","3,520.0","3,330.0","3,540.0","3,290.0","6.20M","6.34%"
"05/03/2020","3,480.0","3,540.0","3,600.0","3,470.0","2.06M","-1.14%"
"06/03/2020","3,490.0","3,420.0","3,500.0","3,420.0","1.28M","0.29%"
"09/03/2020","3,250.0","3,250.0","3,450.0","3,250.0","3.46M","-6.88%"
"10/03/2020","3,260.0","3,100.0","3,350.0","3,100.0","2.07M","0.31%"
"11/03/2020","3,180.0","3,370.0","3,370.0","3,150.0","3.34M","-2.45%"
"12/03/2020","3,100.0","3,110.0","3,130.0","2,970.0","6.90M","-2.52%"
"13/03/2020","3,090.0","3,010.0","3,100.0","2,980.0","6.24M","-0.32%"
"16/03/2020","3,030.0","3,090.0","3,100.0","3,000.0","1.56M","-1.94%"
"17/03/2020","3,020.0","3,000.0","3,030.0","2,980.0","2.54M","-0.33%"
"18/03/2020","3,030.0","3,080.0","3,120.0","3,030.0","2.43M","0.33%"
"19/03/2020","2,980.0","3,030.0","3,030.0","2,910.0","2.82M","-1.65%"
"20/03/2020","2,940.0","2,930.0","2,990.0","2,930.0","883.78K","-1.34%"
"23/03/2020","2,740.0","2,880.0","2,900.0","2,740.0","5.12M","-6.80%"
"24/03/2020","2,720.0","2,740.0","2,740.0","2,600.0","2.85M","-0.73%"
"25/03/2020","2,710.0","2,750.0","2,780.0","2,690.0","2.01M","-0.37%"
"26/03/2020","2,680.0","2,730.0","2,780.0","2,660.0","2.13M","-1.11%"
"27/03/2020","2,660.0","2,680.0","2,700.0","2,600.0","4.17M","-0.75%"
"30/03/2020","2,550.0","2,550.0","2,650.0","2,480.0","3.62M","-4.14%"
"31/03/2020","2,550.0","2,550.0","2,630.0","2,400.0","2.58M","0.00%"
"01/04/2020","2,690.0","2,450.0","2,700.0","2,450.0","2.05M","5.49%"
"03/04/2020","2,810.0","2,710.0","2,830.0","2,710.0","2.12M","4.46%"
"06/04/2020","3,000.0","2,900.0","3,000.0","2,820.0","4.51M","6.76%"
"07/04/2020","3,100.0","3,120.0","3,130.0","2,980.0","4.34M","3.33%"
"08/04/2020","3,200.0","3,150.0","3,200.0","2,980.0","3.67M","3.23%"
"09/04/2020","3,200.0","3,220.0","3,250.0","3,150.0","3.07M","0.00%"
"10/04/2020","3,140.0","3,190.0","3,200.0","3,120.0","4.43M","-1.88%"
"13/04/2020","3,130.0","3,140.0","3,150.0","3,030.0","2.98M","-0.32%"
"14/04/2020","3,070.0","3,100.0","3,140.0","3,040.0","2.09M","-1.92%"
"15/04/2020","3,110.0","3,070.0","3,190.0","3,060.0","3.22M","1.30%"
"16/04/2020","3,170.0","3,100.0","3,190.0","3,100.0","1.90M","1.93%"
"17/04/2020","3,170.0","3,160.0","3,200.0","3,160.0","2.25M","0.00%"
"20/04/2020","3,170.0","3,200.0","3,250.0","3,170.0","4.68M","0.00%"
"21/04/2020","3,120.0","3,110.0","3,170.0","3,070.0","4.87M","-1.58%"
"22/04/2020","3,120.0","3,090.0","3,170.0","3,090.0","1.39M","0.00%"
"23/04/2020","3,160.0","3,120.0","3,190.0","3,120.0","1.46M","1.28%"
"24/04/2020","3,380.0","3,160.0","3,380.0","3,130.0","11.27M","6.96%"
"27/04/2020","3,500.0","3,590.0","3,600.0","3,460.0","4.28M","3.55%"
"28/04/2020","3,640.0","3,470.0","3,690.0","3,420.0","2.89M","4.00%"
"29/04/2020","3,600.0","3,560.0","3,680.0","3,540.0","4.37M","-1.10%"
"04/05/2020","3,400.0","3,570.0","3,600.0","3,400.0","5.10M","-5.56%"
"05/05/2020","3,460.0","3,400.0","3,490.0","3,390.0","1.74M","1.76%"
"06/05/2020","3,540.0","3,500.0","3,570.0","3,450.0","1.71M","2.31%"
"07/05/2020","3,550.0","3,540.0","3,610.0","3,500.0","1.94M","0.28%"
"08/05/2020","3,520.0","3,600.0","3,600.0","3,500.0","5.53M","-0.85%"
"11/05/2020","3,760.0","3,520.0","3,760.0","3,510.0","4.43M","6.82%"
"12/05/2020","3,850.0","3,910.0","3,960.0","3,720.0","5.67M","2.39%"
"13/05/2020","3,860.0","3,830.0","3,930.0","3,780.0","3.32M","0.26%"
"14/05/2020","3,800.0","3,800.0","3,880.0","3,770.0","4.19M","-1.55%"
"15/05/2020","3,880.0","3,900.0","3,940.0","3,810.0","3.91M","2.11%"
"18/05/2020","3,860.0","3,880.0","3,910.0","3,850.0","1.67M","-0.52%"
"19/05/2020","3,890.0","3,910.0","3,920.0","3,850.0","4.02M","0.78%"
"20/05/2020","4,160.0","3,900.0","4,160.0","3,870.0","7.29M","6.94%"
"21/05/2020","4,140.0","4,200.0","4,350.0","4,130.0","3.77M","-0.48%"
"22/05/2020","4,150.0","4,130.0","4,240.0","4,070.0","3.16M","0.24%"
"25/05/2020","4,160.0","4,150.0","4,190.0","4,100.0","2.02M","0.24%"
"26/05/2020","4,230.0","4,170.0","4,310.0","4,160.0","3.52M","1.68%"
"27/05/2020","4,170.0","4,230.0","4,300.0","4,140.0","4.78M","-1.42%"
"28/05/2020","4,270.0","4,170.0","4,270.0","4,170.0","4.35M","2.40%"
"29/05/2020","4,560.0","4,260.0","4,560.0","4,230.0","8.19M","6.79%"
"01/06/2020","4,870.0","4,790.0","4,870.0","4,660.0","3.52M","6.80%"
"02/06/2020","4,800.0","5,210.0","5,210.0","4,800.0","18.99M","-1.44%"
"03/06/2020","4,750.0","4,800.0","5,000.0","4,650.0","7.85M","-1.04%"
"04/06/2020","5,080.0","4,750.0","5,080.0","4,730.0","11.39M","6.95%"
"05/06/2020","5,420.0","5,100.0","5,420.0","4,980.0","9.68M","6.69%"
"08/06/2020","5,750.0","5,500.0","5,760.0","5,480.0","11.77M","6.09%"
"09/06/2020","5,650.0","5,730.0","5,820.0","5,500.0","12.72M","-1.74%"
"10/06/2020","5,800.0","5,540.0","6,000.0","5,460.0","12.23M","2.65%"
"11/06/2020","5,400.0","5,850.0","5,850.0","5,400.0","11.59M","-6.90%"
"12/06/2020","5,200.0","5,030.0","5,360.0","5,030.0","11.66M","-3.70%"
"15/06/2020","4,900.0","5,300.0","5,310.0","4,850.0","9.36M","-5.77%"
"16/06/2020","5,190.0","5,000.0","5,200.0","4,990.0","5.40M","5.92%"
"17/06/2020","5,090.0","5,230.0","5,230.0","4,990.0","3.57M","-1.93%"
"18/06/2020","4,970.0","5,000.0","5,060.0","4,940.0","3.83M","-2.36%"
"19/06/2020","5,230.0","4,930.0","5,310.0","4,930.0","7.30M","5.23%"
"22/06/2020","5,190.0","5,260.0","5,380.0","5,190.0","3.85M","-0.76%"
"23/06/2020","5,300.0","5,200.0","5,350.0","5,190.0","5.89M","2.12%"
"24/06/2020","5,220.0","5,280.0","5,350.0","5,170.0","6.30M","-1.51%"
"25/06/2020","5,200.0","5,150.0","5,200.0","5,080.0","2.79M","-0.38%"
"26/06/2020","5,110.0","5,250.0","5,320.0","5,100.0","4.02M","-1.73%"
"29/06/2020","5,200.0","5,110.0","5,380.0","5,050.0","6.81M","1.76%"
"30/06/2020","5,200.0","5,200.0","5,300.0","5,040.0","3.99M","0.00%"
"01/07/2020","5,230.0","5,230.0","5,270.0","5,160.0","2.45M","0.58%"
"02/07/2020","5,230.0","5,230.0","5,260.0","5,170.0","2.71M","0.00%"
"03/07/2020","5,200.0","5,250.0","5,250.0","5,200.0","2.20M","-0.57%"
"06/07/2020","5,150.0","5,200.0","5,210.0","5,100.0","3.35M","-0.96%"
"07/07/2020","5,020.0","5,110.0","5,170.0","4,900.0","6.39M","-2.52%"
