"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"09/05/2025","23,500.0","23,700.0","23,700.0","23,400.0","15.03M","-0.21%"
"08/05/2025","23,550.0","23,300.0","23,600.0","23,200.0","21.02M","1.29%"
"07/05/2025","23,250.0","23,550.0","23,600.0","23,200.0","21.89M","-1.27%"
"06/05/2025","23,550.0","23,600.0","23,700.0","23,500.0","22.79M","0.00%"
"05/05/2025","23,550.0","23,700.0","23,750.0","23,450.0","18.86M","0.00%"
"29/04/2025","23,550.0","23,700.0","23,750.0","23,550.0","13.18M","-0.63%"
"28/04/2025","23,700.0","23,800.0","23,850.0","23,550.0","23.07M","0.64%"
"25/04/2025","23,550.0","23,500.0","23,750.0","23,300.0","40.71M","1.29%"
"24/04/2025","23,250.0","23,400.0","23,400.0","23,050.0","18.10M","-0.64%"
"23/04/2025","23,400.0","23,450.0","23,700.0","23,100.0","33.86M","1.30%"
"22/04/2025","23,100.0","22,850.0","23,150.0","21,550.0","45.38M","0.65%"
"21/04/2025","22,950.0","23,500.0","23,500.0","22,800.0","37.14M","-1.29%"
"18/04/2025","23,250.0","23,100.0","23,450.0","23,050.0","31.56M","1.09%"
"17/04/2025","23,000.0","22,700.0","23,000.0","22,600.0","21.57M","0.44%"
"16/04/2025","22,900.0","23,000.0","23,250.0","22,750.0","21.90M","-0.43%"
"15/04/2025","23,000.0","23,000.0","23,400.0","22,900.0","29.51M","-1.92%"
"14/04/2025","23,450.0","23,500.0","23,550.0","23,150.0","31.68M","0.00%"
"11/04/2025","23,450.0","22,500.0","23,500.0","22,400.0","78.95M","6.35%"
"10/04/2025","22,050.0","22,050.0","22,050.0","22,050.0","1.69M","6.78%"
"09/04/2025","20,650.0","19,450.0","21,400.0","19,450.0","61.22M","-1.20%"
"08/04/2025","20,900.0","21,150.0","21,900.0","20,900.0","64.52M","-6.90%"
"04/04/2025","22,450.0","21,100.0","22,450.0","21,100.0","73.12M","-0.88%"
"03/04/2025","22,650.0","23,600.0","23,700.0","22,650.0","86.27M","-6.98%"
"02/04/2025","24,350.0","24,600.0","24,650.0","24,350.0","9.79M","-1.02%"
"01/04/2025","24,600.0","24,150.0","24,600.0","24,000.0","13.92M","2.07%"
"31/03/2025","24,100.0","23,850.0","24,100.0","23,800.0","18.70M","0.84%"
"28/03/2025","23,900.0","24,000.0","24,100.0","23,800.0","13.04M","0.00%"
"27/03/2025","23,900.0","24,000.0","24,100.0","23,900.0","12.43M","-0.42%"
"26/03/2025","24,000.0","24,150.0","24,400.0","24,000.0","18.28M","-0.83%"
"25/03/2025","24,200.0","24,500.0","24,550.0","24,150.0","12.74M","-0.82%"
"24/03/2025","24,400.0","24,300.0","24,400.0","23,950.0","15.57M","0.41%"
"21/03/2025","24,300.0","24,300.0","24,500.0","24,200.0","15.57M","0.21%"
"20/03/2025","24,250.0","24,000.0","24,350.0","23,900.0","21.14M","1.68%"
"19/03/2025","23,850.0","23,900.0","24,000.0","23,700.0","20.39M","-0.21%"
"18/03/2025","23,900.0","24,400.0","24,400.0","23,900.0","26.61M","-1.65%"
"17/03/2025","24,300.0","24,400.0","24,450.0","24,100.0","25.60M","0.00%"
"14/03/2025","24,300.0","24,250.0","24,450.0","24,150.0","19.72M","0.00%"
"13/03/2025","24,300.0","24,650.0","24,700.0","24,200.0","23.06M","-1.22%"
"12/03/2025","24,600.0","24,900.0","25,000.0","24,600.0","30.96M","-0.81%"
"11/03/2025","24,800.0","24,200.0","24,800.0","24,150.0","26.52M","1.22%"
"10/03/2025","24,500.0","24,750.0","24,900.0","24,450.0","19.42M","0.00%"
"07/03/2025","24,500.0","24,250.0","24,900.0","24,100.0","47.42M","1.66%"
"06/03/2025","24,100.0","23,700.0","24,100.0","23,500.0","25.92M","2.34%"
"05/03/2025","23,550.0","23,400.0","24,100.0","23,300.0","30.36M","0.64%"
"04/03/2025","23,400.0","23,050.0","23,600.0","22,850.0","21.37M","1.30%"
"03/03/2025","23,100.0","23,000.0","23,100.0","22,950.0","9.20M","0.43%"
"28/02/2025","23,000.0","23,100.0","23,150.0","22,950.0","11.05M","-0.86%"
"27/02/2025","23,200.0","23,200.0","23,250.0","22,950.0","12.77M","0.00%"
"26/02/2025","23,200.0","23,500.0","23,550.0","23,200.0","8.38M","-0.85%"
"25/02/2025","23,400.0","23,050.0","23,550.0","23,050.0","37.70M","1.74%"
"24/02/2025","23,000.0","22,800.0","23,050.0","22,800.0","13.46M","0.44%"
"21/02/2025","22,900.0","22,900.0","23,150.0","22,800.0","20.51M","0.22%"
"20/02/2025","22,850.0","23,000.0","23,000.0","22,850.0","10.83M","0.00%"
"19/02/2025","22,850.0","22,800.0","22,950.0","22,700.0","9.17M","0.66%"
"18/02/2025","22,700.0","22,650.0","22,950.0","22,600.0","10.08M","0.22%"
"17/02/2025","22,650.0","22,900.0","22,900.0","22,600.0","8.68M","-0.88%"
